WL/LOA @ T/Dd = 0.12,WL/LOA @ T/Dd = 0.25,WL/LOA @ T/Dd = 0.33,WL/LOA @ T/Dd = 0.38,WL/LOA @ T/Dd = 0.50,WL/LOA @ T/Dd = 0.62,WL/LOA @ T/Dd = 0.67,WL/LOA @ T/Dd = 0.75,WL/LOA @ T/Dd = 0.88,WL/LOA @ T/Dd = 1.0
0.848772843928733,0.84989946922855,0.842248694966659,0.840348686527321,0.844884593212004,0.861295586684858,0.870583157906094,0.890144127559556,0.934270449457582,0.988562599573507
0.908195590976958,0.898820346499392,0.921913937370348,0.934936197781436,0.963057328730305,0.983953903834296,0.979364658395108,0.969008284863557,0.944356246601943,0.85092503717681
0.587097595789405,0.711237493043247,0.736169228914379,0.725579664008218,0.720140462071072,0.730430762264563,0.740200466668414,0.766042935015359,0.834840666993701,0.927800904110585
0.876505732430683,0.926313827814187,0.93721196903738,0.943445294603052,0.957122349326669,0.969481863159052,0.974336764408058,0.980456617512731,0.989323701432665,1
0.525288824953573,0.595667056031698,0.629784716308123,0.649023347463784,0.70727480886345,0.774208198289048,0.801931693285736,0.846431532088834,0.919117168015913,0.986621928511288
0.850248948533355,0.9124781513821,0.942645357305074,0.959656363522025,0.912750718042468,0.854638620548331,0.820561830698242,0.764065669865989,0.667079503699291,0.571861608760483
0.81326122633091,0.86930338770177,0.869332847003835,0.868110141897957,0.862420930290063,0.853902674436326,0.849720195400384,0.842394009578372,0.815352932552069,0.767218522629315
0.706175886023557,0.770829864716303,0.802172606368418,0.819846496467531,0.858012682734477,0.891813021035754,0.904919317557785,0.927259912126802,0.96801324414138,0.981952957605782
0.821654555906763,0.879966502473255,0.905302574915184,0.91824390044544,0.941137628001525,0.951007884825263,0.948965233403148,0.936969209891025,0.968191265707713,0.990489539262075
0.963826032774808,0.971475634730521,0.974900423418458,0.97674998152373,0.980543173013341,0.983673190601446,0.984828930370582,0.986529441859895,0.985745228617805,0.982566832639653
0.547204318860057,0.633524367908132,0.675370281834161,0.698966810876614,0.755164367122878,0.817449314142496,0.843200697671604,0.884201912442117,0.941209073046316,0.992206235572889
0.887087896416351,0.952652711875637,0.984437049697434,0.985810396985542,0.958890527157327,0.931634844686195,0.920203147636844,0.900010159904614,0.866210573041907,0.835472499080576
0.669058464736516,0.703760987029172,0.728786315032441,0.744376365604257,0.781679779042612,0.818867443178011,0.834336395785911,0.863284086701345,0.928624334000347,1
0.514752459713786,0.60802120131464,0.650494129761544,0.675584576430268,0.732571901684324,0.786242332953991,0.807862613838992,0.841711475479123,0.903923211405504,1
0.666198882187018,0.751306757503021,0.792564992668488,0.815830127631419,0.864688491443815,0.894547364360832,0.905888708608201,0.925632048888324,0.961907599239897,1
0.938256377963039,0.923295509649961,0.943439324451517,0.954775791231284,0.972233058423797,0.973876655755763,0.969987471183831,0.958233256194358,0.921129840921493,0.853843785017719
0.905690632391427,0.939848189188174,0.956343834647698,0.965622085128234,0.931717020663296,0.897486226083617,0.881832565301887,0.85462935918764,0.83495468250361,0.823178870873581
1.14730370488006,0.772352650354304,0.828250250798581,0.857967628242804,0.923273438587612,0.988966658303358,0.975064452639936,0.936435261173417,0.872714665240478,0.799253579092801
