VCB/LOA @ T/Dd = 0.12,VCB/LOA @ T/Dd = 0.25,VCB/LOA @ T/Dd = 0.33,VCB/LOA @ T/Dd = 0.38,VCB/LOA @ T/Dd = 0.50,VCB/LOA @ T/Dd = 0.62,VCB/LOA @ T/Dd = 0.67,VCB/LOA @ T/Dd = 0.75,VCB/LOA @ T/Dd = 0.88,VCB/LOA @ T/Dd = 1.0
0.575825940484498,0.581016468391644,0.584063707249889,0.584865484118524,0.58488494834439,0.584014722117014,0.584826789790595,0.585667596843734,0.585298274005662,0.581351955234463
0.479984731382036,0.49469486011094,0.496072845650527,0.495824339174527,0.49392805603055,0.49148403760168,0.490723006289896,0.490124814077192,0.489868504314326,0.49020785374929
0.72270559782091,0.677503389281067,0.647820745919769,0.636435243322265,0.61799763877763,0.595755911201492,0.581568804290366,0.554174529407613,0.5155323727017,0.487602872096656
0.452663196499481,0.468443851860846,0.474574455836872,0.479854687525474,0.493626868986228,0.502367027013129,0.504050217741294,0.505105823558931,0.503357349820052,0.493175903804249
0.274882720854352,0.29102206201975,0.299295592944137,0.30411402987941,0.3156876440591,0.331397789091671,0.338887926871081,0.351680571303211,0.374035612535641,0.395864240894266
0.306453419447319,0.372810443052572,0.392019179673202,0.398638416628749,0.384236743411314,0.364172747738387,0.359390459944107,0.355738826252092,0.353611615636998,0.351680646768051
0.546800228435702,0.548471626170898,0.542632396227358,0.53847099729887,0.528688670030624,0.517639653557181,0.512783496684787,0.504946230379423,0.492757576601723,0.484612253099095
0.371501952670779,0.383305599062367,0.388349792518102,0.391084303198605,0.39664439241098,0.401012716265733,0.40254251727748,0.404913437635959,0.414176505867367,0.428624343051323
0.339199044015323,0.370846916474912,0.383446059604366,0.390307102389479,0.404787287875982,0.417296442506919,0.422063715117154,0.429641689312938,0.443662458860042,0.456105470193342
0.519829423510745,0.521119156761753,0.521352679501251,0.521505481053779,0.521882847753608,0.521853501278773,0.521689338936305,0.521231370853569,0.520024537336278,0.518659066294186
0.311841911960611,0.332697834846739,0.342203612060138,0.347344552474312,0.35783463889471,0.367249722361675,0.371120972106408,0.377728530230263,0.392516673398053,0.407149618251614
0.38449940271669,0.417749608809742,0.425708682513317,0.430487997745759,0.442048611969431,0.449758367327258,0.451097324268158,0.451418860161131,0.448524988180236,0.444009518960158
0.423249333832581,0.437571293854687,0.444717476087964,0.448865060246268,0.458841177987114,0.468140456378573,0.471787740368777,0.477405402048387,0.485591435689379,0.492157086856457
0.522039398171404,0.522810968181347,0.523395865740419,0.523164785398926,0.522240234946421,0.522081791917739,0.522490177375093,0.523888967058089,0.528423439612236,0.534410590102204
0.356849883283689,0.363435390481213,0.362434235849217,0.359775700968095,0.352367132788752,0.358612557039807,0.363783809633634,0.373152546319569,0.388819442285598,0.402792653473621
0.41134982330056,0.393760315142521,0.370359768496223,0.35116625214909,0.312156293869392,0.307953526183817,0.313061228848061,0.324394240401572,0.344755554811869,0.362651404146425
0.467842301067121,0.483263575812802,0.489349682930397,0.492445216370314,0.493364731369375,0.491255002754883,0.490463795369683,0.490852306340608,0.489386298239284,0.486383655739115
0.552211293404479,0.528341873511551,0.487280341614717,0.472261840517266,0.454536906740876,0.449457254010985,0.450306263998796,0.450825641739118,0.448177323049077,0.443695963335338
0.308353659473771,0.312439755298035,0.316132640511347,0.318838848515213,0.327369758104846,0.336812802050918,0.340034246012986,0.344655284706025,0.352711142101817,0.3663211080615
0.427066880801883,0.464230236886059,0.47738444389349,0.481098356676472,0.483774902406306,0.482639049774681,0.481674905016111,0.480197854377889,0.47792550208574,0.475202493469905
0.419670056245274,0.455148694718191,0.46043801917933,0.461459174394322,0.46310824652342,0.465599603030148,0.466662156339227,0.467826888672122,0.473288602045617,0.483906357281078
0.467185444741694,0.466372189519195,0.465180381291594,0.465304182868548,0.462345440070308,0.458249632563965,0.456727752417352,0.454445334693587,0.451010010880862,0.448248742418067
0.511220034284055,0.555566519763663,0.55438478286794,0.553364683249346,0.550477503646949,0.547387377196422,0.54612733820941,0.544208959339431,0.545542287661807,0.552474153171745
0.473918996004718,0.50531986048905,0.514739888061498,0.518229785926111,0.522403264029575,0.522649806298116,0.521825116632267,0.51925268837607,0.511062174683703,0.499309984885864
0.465507422521595,0.524515492052841,0.540887703780654,0.547242757411129,0.556428069192288,0.561207422287574,0.562048722896724,0.56259625512509,0.561940718150525,0.559813263131132
0.479031168388872,0.482212767666052,0.491534412756939,0.49804481923492,0.50136539178165,0.497451214535682,0.494846532138938,0.490031242770393,0.481418004992036,0.473383256614851
0.464774713582457,0.47111296032535,0.473325578052621,0.474471656134455,0.475652671392257,0.476714546372158,0.477451656352818,0.479218491464591,0.483825777733489,0.488932993872818
0.465087704516488,0.490832880515126,0.496625818651556,0.498970050829842,0.503483549952886,0.508186666101115,0.5104409129794,0.514536891987104,0.522825454041755,0.532858039508863
