Iyy/LOA^4 @ T/Dd = 0.12,Iyy/LOA^4 @ T/Dd = 0.25,Iyy/LOA^4 @ T/Dd = 0.33,Iyy/LOA^4 @ T/Dd = 0.38,Iyy/LOA^4 @ T/Dd = 0.50,Iyy/LOA^4 @ T/Dd = 0.62,Iyy/LOA^4 @ T/Dd = 0.67,Iyy/LOA^4 @ T/Dd = 0.75,Iyy/LOA^4 @ T/Dd = 0.88,Iyy/LOA^4 @ T/Dd = 1.0
0.00192194912193107,0.00381929762669701,0.00511132757911405,0.00597195803361647,0.0080904760453933,0.0103239862591864,0.0110327885547877,0.0117679392820499,0.0137934679210903,0.0181478892683737
0.00472939870957176,0.00502718727500936,0.00531452339646078,0.00547749211164552,0.00580055757204087,0.00601139864715001,0.00589320479103735,0.00571329685203392,0.00562365014455554,0.00599730036803804
0.00248606216267487,0.0061949358575804,0.00782470232873501,0.00784420305836382,0.00897713683611362,0.0126157716135127,0.01444103228574,0.0170843844738539,0.0202430573120121,0.0242537807978569
0.00407185771093624,0.00617292458746209,0.00795170136888934,0.00902593988977228,0.0116669241625934,0.0129524649660786,0.0136263067522353,0.0148681950882943,0.0179624408685122,0.0316471189591935
0.00134820107678706,0.00240370384977423,0.00314802906091535,0.00364853307222981,0.00536840269895653,0.00780068197032412,0.00899581080233063,0.0111538459570795,0.0153689724635205,0.0201894621626418
0.000641034462504754,0.00308517021760073,0.00623406531360375,0.0088301528400877,0.0117694042920654,0.0116004912649596,0.0100711758590037,0.0074105579570593,0.00367918128764207,0.00122693180774411
0.00280799441064211,0.00408826641705712,0.00447190804192027,0.00472286856607305,0.0052163168445072,0.00533211676717922,0.00535762995594852,0.00537179250971587,0.00501345094796628,0.00415121472364413
0.00224109491509069,0.00465614300445164,0.00547564257756792,0.00588486224069715,0.00655905599908183,0.00691013576814749,0.00703596156174248,0.00784766312529438,0.0113120545684512,0.0141384757992563
0.00547942284918434,0.00786102430726862,0.00900586665787406,0.00961675384594305,0.0107439240396471,0.0113818509040251,0.0115548509832593,0.01310280292288,0.014786979443899,0.0164079208130329
0.00560175754786662,0.00795740756036468,0.0089125440138436,0.00941311853908075,0.0103642874554037,0.0109880080404633,0.0111884758554649,0.011446250139939,0.0117813129011285,0.0122614857630171
0.00253948646976929,0.00426457627488068,0.00502521325126517,0.00541481097246141,0.0061567343984404,0.00687765192597848,0.00723556404283796,0.00820483018407555,0.0109919268594357,0.0114093564690257
0.000510453927966189,0.00837981216243934,0.0106730968579348,0.0122411774003489,0.0146913418494137,0.0150209391549968,0.0144853202593571,0.01318800482471,0.010349380852683,0.00794493501465084
