z/LOA @ T/Dd = 0.12,z/LOA @ T/Dd = 0.25,z/LOA @ T/Dd = 0.33,z/LOA @ T/Dd = 0.38,z/LOA @ T/Dd = 0.50,z/LOA @ T/Dd = 0.62,z/LOA @ T/Dd = 0.67,z/LOA @ T/Dd = 0.75,z/LOA @ T/Dd = 0.88,z/LOA @ T/Dd = 1.0
0.00802276155649078,0.0167130032426891,0.0220608442803496,0.0254032449288875,0.0334250064853782,0.041446768041869,0.0447891686904068,0.0501370097280674,0.0588272514142657,0.0668490129707565
0.0289326485991249,0.0602752679148435,0.0795630336475934,0.0916178872305621,0.120549535829687,0.149481184428812,0.161536038011781,0.180823803744531,0.212166423060249,0.241098071659374
0.0218093931393261,0.0454351523735961,0.0599740811331468,0.0690609116078661,0.0908693047471922,0.112677697886518,0.121764528361238,0.136303457120788,0.159929216355058,0.181737609494384
0.0191043910667898,0.0397997313891455,0.052535325433672,0.0604950717115011,0.079598462778291,0.0987018538450808,0.10666160012291,0.119397194167436,0.140092534489792,0.159195925556582
0.0280042077326487,0.0583410161096848,0.077009821264784,0.0886778244867209,0.11668103221937,0.144684239952018,0.156352243173955,0.175021048329055,0.205357856706091,0.233361064438739
0.0285872423750369,0.0595556716146601,0.0786131665313513,0.0905241008542834,0.11911034322932,0.147696585604357,0.159607519927289,0.17866501484398,0.209633444083604,0.23821968645864
0.018189903160012,0.037894548250025,0.050020483690033,0.057599193340038,0.0757880965000501,0.0939769996600621,0.101555709310067,0.113681644750075,0.133386289840088,0.1515751930001
0.0201342847004043,0.0419453431258422,0.0553675329261117,0.0637564015512802,0.0838896862516844,0.104022970952089,0.112411839577257,0.125834029377527,0.147645087802965,0.167778372503369
0.0174412345855454,0.0363348220532196,0.0479616451102499,0.0552284095208938,0.0726686441064393,0.0901088786919847,0.0973756431026286,0.109002466159659,0.127896053627333,0.145336288212879
0.00919779628018044,0.0191609922503759,0.0252921897704962,0.0291241882205714,0.0383209845007519,0.0475177807809323,0.0513497792310075,0.0574809767511278,0.0674441727213233,0.0766409690015037
0.0228123225291406,0.0475245886023763,0.0627321369551367,0.072236854675612,0.0950481772047526,0.117859499733893,0.127364217454368,0.142571765807129,0.167284031880365,0.190095354409505
0.0167580121627012,0.0349114420056275,0.0460827834474284,0.0530648718485539,0.0698218840112551,0.0865788961739563,0.0935609845750818,0.104732326016883,0.122885755859809,0.13964276802251
